FR-44069-GUERA-STAUBI1-X,Jeu tremblant n'existe pas
FR-44109-NANTE-NDAIDE1-X,"Pas de facteur trouvé dans ""1973 : relevage par jean renaud."" pour ('debierre', '1885'),('gloton debierre', '1945')"
FR-44109-NANTE-NDPORT1-T,Jeu fourniture VII n'existe pas
