petite chalemie,4,
petite flute,4,Petite Flûte
piccolo,1,Piccolo
plain jeu,IV,
plain-jeu,V,
plein jeu,II,
plein jeu,II-V,
plein jeu,IV,Plein-jeu
plein jeu,III,Plein-jeu
plein-jeu,V-VI,Plein-jeu
plein-jeu,I-IV,
plein-jeu,,
plein-jeu,III-VI,Plein-jeu
plein-jeu,III-V,Plein-jeu
plein-jeu,V,Plein-jeu
plein-jeu,II-V,Plein-jeu
plein-jeu,V-VII,Plein-jeu
plein-jeu,III,Plein-jeu
plein-jeu,III-IV,Plein-jeu
plein-jeu,II-IV,Plein-jeu
plein-jeu,IV,Plein-jeu
plein-jeu 16',I,
plein-jeu 8',IV,Plein-jeu
plein-jeu iv,IV,Plein-jeu
posaune,16,Posaune
posaunenbass,16,Posaunenbass
prestant,,
prestant,4,Prestant
prestant,8,Prestant
principal,2,Principal
principal,16,Principal
principal,4,Principal
principal,8,Principal
principal,1,Principal
principal italien,4,Principal italien
principalbasse,16,Principalbass
prinicpal,8,
prinzipal,4,Prinzipal
prinzipal,8,Prinzipal
quarte,2,Quarte
quarte de nasard,2,Quarte de Nazard
quinta,2 2/3,Quinta
quinta,1 1/3,Quinta
quintade,16,Quintade
quintaden,8,
quintaden,16,
quintadene,8,
quintaton,4,Quintaton
quintaton,16,Quintaton
quintaton,8,Quintaton
quinte,,
quinte,2 1/3,Quinte
quinte,1 1/3,Quinte
quinte,10 2/3,Quinte
quinte,5 1/3,Quinte
quinte,3,
quinte flute,2 2/3,Quinte Flûte
quintelette,1 1/3,
quintflote,1 1/3,
rankett,16,Rankett
ranquette,16,Ranquette
regale,8,Régale
rohrflote,8,Rohrflöte
rohrflote,4,Rohrflöte
sacqueboute,8,
sacqueboute,16,
salcional,8,
salicional,8,Salicional
salicional,4,Salicional
salitional,8,
schalmei,8,Schalmei
scharf,III,
scharff,III,
septieme,1 1/7,Septième
sesquialter,II,Sesquialter
sesquialtera,II,Sesquialtera
sesquilatera,II,
sifflet,1,Sifflet
sifflote,1,Sifflöt
solicional,8,Solicional
soubase,16,
soubasse,16,Soubasse
soubasse,32,Soubasse
soubasse acoustique,32,
sous-basse,8,
spitzflote,2,
spitzflote,4,Spitzflöte
spitzflote,8,
subbai2,16,Subbass
subbas,16,
subbass,16,Subbass
tercian,II,
terz,1 3/5,Terz
tierce,,
tierce,8,
tierce,1 1/3,Tierce
tierce,1 3/5,Tierce
tierce,2,
tiercelette,1 1/3,Tiercelette
tiercyne,1 3/5,Tiercyne
tiertia,1 3/5,
tirasse fixe,,Tirasse permanente
tremblant,,
trommete,8,
trompete,8,Trompete
trompete royale,8,
trompette,8,Trompette
trompette,16,Trompette
trompette chamade,8,Trompette en chamade
trompette de bataille,8,
trompette en chamade,8,Trompette en chamade
trompette harmonique,8,Trompette harmonique
trompette royale,4,
tuba harmonique,8,
unda maris,4,
unda maris,8,Unda Maris
viola,4,
viola da gamba,8,
viola de gambe,8,
viola di gamba,8,Viola di Gamba
viole,4,Viole
viole,8,Viole
viole d'amour,8,Viole d'amour
viole de gambe,8,Viole de gambe
violonbasse,8,Violonbasse
violoncelle,8,Violoncelle
violoncelle,16,Violoncelle
voce umana,8,Voce Umana
voix celeste,8,Voix céleste
voix humaine,8,Voix humaine
vox humana,8,Vox Humana
wald flute,4,
waldflote,2,Waldflöte
