recit / grand-choeur,Accouplement Rec./G.Ch.
recit / grand-orgie,Accouplement Réc./G.O.
recit / grand-orgue,Accouplement Réc./G.O.
recit / grand-orgue 16,Accouplement 16 Réc./G.O.
recit / grand-orgue 4,Accouplement 4 Réc./G.O.
recit / grand-orgue 8,Accouplement Réc./G.O.
recit / positif,Accouplement Réc./Pos.
recit / positif 16,Accouplement 16 Réc./Pos.
recit / positif 4,Accouplement 4 Réc./Pos.
recit / positif 8,Accouplement Réc./Pos.
recit / recit 16,Octaves graves Réc.
recit / recit 4,Octaves aiguës Réc.
recit /grand-orgue,Accouplement Réc./G.O.
recit 16,Octaves graves Réc.
recit 4,Octaves aiguës Réc.
recit 4 / grand-orgue,Accouplement 4 Réc./G.O.
recit/grand-orgue,Accouplement Réc./G.O.
recit/positif,Accouplement Réc./Pos.
renvoi anches grand-orgue,None
renvoi general,None
resonance / grand-orgue,Accouplement Rés./G.O.
resonance / positif,Accouplement Rés./Pos.
retrait anches,None
retrait anches recit,None
rossignol,Rossignol
schwellwerk / hauptwerk,Accouplement Schwellwerk/Hauptwerk
solo / grand orgue,Accouplement Solo/G.O.
solo / grand-orgue,Accouplement Solo/G.O.
solo/ grand-orgue,Accouplement Solo/G.O.
solo/ positif,Accouplement Solo/Pos.
solo/ recit,Accouplement Solo/Réc.
tir. i/p,Tirasse I
tir. ii/p,Tirasse II
tirasse,Tirasse
tirasse 1er clavier 4,Tirasse 4 I
tirasse 1er clavier 8,Tirasse I
tirasse bombarde,Tirasse Bomb.
tirasse chamade,Tirasse Cham.
tirasse chamades,Tirasse Cham.
tirasse chamades 4,Tirasse 4 Cham.
tirasse echo,Tirasse Ech.
tirasse go,Tirasse G.O.
tirasse grand orgue,Tirasse G.O.
tirasse grand-choeur,Tirasse G.Ch.
tirasse grand-orgue,Tirasse G.O.
tirasse grand-orgue 4,Tirasse 4 G.O.
tirasse grand-orgue 8,Tirasse G.O.
tirasse hauptwerk,Tirasse Hauptwerk
tirasse i,Tirasse I
tirasse ii,Tirasse II
tirasse positif,Tirasse Pos.
tirasse positif 4,Tirasse 4 Pos.
tirasse positif fixe,Tirasse permanente Pos.
tirasse recit,Tirasse Réc.
tirasse recit 16,Tirasse 16 Réc.
tirasse recit 4,Tirasse 4 Réc.
tirasse recit 8,Tirasse Réc.
tirasse resonance,Tirasse Rés.
tirasse resonance 4,Tirasse 4 Rés.
tirasse schwellwerk,Tirasse Schwellwerk
tirasse solo,Tirasse Solo
tirasses : pedalier sur positif et sur grand orgue,"Tremblant G.O., Trémolo Pos."
transpositeur,Transpositeur
transpositeur -2 / +1 demi-tons,Transpositeur
tremblant,Tremblant
tremblant doux,Tremblant doux
tremblant doux grand-orgue,Tremblant doux G.O.
tremblant doux positif,Tremblant doux Pos.
tremblant doux recit,Tremblant doux Réc.
tremblant doux resonance,Tremblant doux Rés.
tremblant doux resonnance et recit,Tremblant doux Réc.
tremblant fort,Tremblant fort
tremblant fort grand-orgue et resonnance,"Tremblant fort G.O.,Tremblant fort Rés."
tremblant go + recit,"Tremblant G.O., Tremblant Réc."
tremblant grand orgue,Tremblant G.O.
tremblant grand-orgue,Tremblant G.O.
tremblant positif,Tremblant Pos.
tremblant recit,Tremblant Réc.
tremblant schwellwerk,Tremblant schwellwerk
tremblant solo,Tremblant Solo
tremolo,Trémolo
tremolo grand-choeur,Tremolo G.Ch.
tremolo positif,Trémolo Pos.
tremolo recit,Trémolo Réc.
tremulant,Tremulant
tutti,Tutti
tutti anches,Tutti anches
tutti bombarde,Tutti Bombarde
tutti copulas,Tutti copulas
tutti general,Tutti
tutti grand-orgue,Tutti G.O.
tutti mixtures,Tutti mixtures
tutti pedale,Tutti Péd.
tutti positif,Tutti Pos.
tutti recit,Tutti Réc.
tutti tirasses,Tutti tirasses
